day,personnel
2,2800
3,4300
4,4500
5,5300
6,5710
7,5840
8,9000
9,9166
10,10000
11,11000
12,11000
13,12000
14,12000
15,12000
16,12000
17,12000
18,12000
19,12000
20,13500
21,13800
22,14000
23,14200
24,14400
25,14700
26,15000
27,15300
28,15600
29,15800
30,16100
31,16400
32,16600
33,17000
34,17200
35,17300
36,17500
37,17700
38,17700
39,18000
40,18300
41,18500
42,18600
43,18900
44,19000
45,19100
46,19300
47,19500
48,19600
49,19800
50,19900
51,20000
52,20100
53,20300
54,20600
55,20800
56,20900
57,21000
58,21200
59,21600
60,21800
61,21900
62,22100
63,22400
64,22800
65,23000
66,23200
67,23500
68,23800
69,24200
70,24500
71,24700
72,24900
73,25100
74,25500
75,25650
76,26000
77,26350
78,26650
79,26900
80,27200
81,27400
82,27700
83,27900
84,28300
85,28500
86,28700
87,28850
88,29050
89,29200
90,29350
91,29450
92,29600
93,29750
94,30000
95,30150
96,30350
97,30500
98,30700
99,30850
100,30950
101,31050
102,31150
103,31250
104,31360
105,31500
106,31700
107,31900
108,32050
109,32150
110,32300
111,32500
112,32750
113,32950
114,33150
115,33350
116,33600
117,33800
118,34100
119,34230
120,34430
121,34530
122,34700
123,34850
124,35000
125,35250
126,35450
127,35600
128,35750
129,35870
130,35970
131,36200
132,36350
133,36500
134,36650
135,36900
136,37200
137,37300
138,37400
139,37470
140,37570
141,37870
142,38000
143,38140
144,38300
145,38450
146,38550
147,38750
148,38850
149,39000
150,39240
151,39520
152,39700
153,39870
154,40070
155,40230
156,40500
157,40670
158,40830
159,41030
160,41170
161,41350
162,41500
163,41650
164,41900
165,42200
166,42340
167,42640
168,42800
169,43000
170,43200
171,43400
172,43550
173,43750
174,43900
175,44100
176,44300
177,44700
178,44900
179,45200
180,45400
181,45550
182,45700
183,45850
184,46250
185,46500
186,46750
187,47100
188,47550
189,47900
190,48350
191,48700
192,49050
193,49500
194,49800
195,50150
196,50610
197,51250
198,51900
199,52250
200,52650
201,52950
202,53300
203,53650
204,53850
205,54050
206,54250
207,54480
208,54650
209,54810
210,55110
211,55510
212,56060
213,56300
214,56700
215,57200
216,57750
217,58150
218,58580
219,59080
220,59610
221,60110
222,60430
223,60800
224,61000
225,61330
226,61680
227,62060
228,62500
229,62870
230,63110
231,63380
232,63800
233,64300
234,64700
235,65000
236,65320
237,65850
238,66280
239,66650
240,66750
241,67070
242,67470
243,67940
244,68420
245,68900
246,69220
247,69700
248,70250
249,71200
250,71820
251,72470
252,73270
253,74000
254,74840
255,75440
256,75930
257,76460
258,77170
259,77950
260,78690
261,79400
262,80210
263,80860
264,81370
265,82080
266,82710
267,83110
268,83460
269,83880
270,84210
271,84600
272,85000
273,85410
274,85720
275,86150
276,86710
277,87310
278,87900
279,88380
280,88880
281,89440
282,90090
283,90600
284,91150
285,91690
286,92200
287,92740
288,93080
289,93390
290,93760
291,94140
292,94760
293,95260
294,96000
295,96590
296,97270
297,97690
298,98280
299,98800
300,99230
301,99740
302,100400
303,100950
304,101430
305,102050
306,102600
307,103220
308,103770
309,104560
310,105250
311,105960
312,106720
313,107440
314,108190
315,108910
316,109720
317,110250
318,110740
319,111170
320,111760
321,112470
322,112960
323,113390
324,114130
325,114660
326,115290
327,116080
328,116950
329,117770
330,118530
331,119300
332,120160
333,120760
334,121480
335,122170
336,123080
337,123860
338,124710
339,125510
340,126160
